jp_name,n_routes,daily_stop_events,min_transfers_yamanote,max_route_btw_cent,mean_route_degree_cent,mean_route_btw_cent,stop_lat,stop_lon,km_to_yamanote,ward_jp,pop_800m_catchment,ridership_2019,log_ridership,station_key
あざみ野,2.0,1706.0,1.0,0.0465156449618751,0.1025641025641025,0.0284047467843331,35.5682915,139.5537315,16.338396260676582,Outside-23,0.0,216163.0,12.283792657834065,Azamino
お台場海浜公園,1.0,944.0,1.0,0.0031402759574739,0.1153846153846153,0.0031402759574739,35.6299,139.77878,3.322935848858302,港区,17794.0,16899.0,9.735068900911164,Odaiba-kaihinkōen
お花茶屋,1.0,498.0,1.0,0.0293823137877515,0.141025641025641,0.0293823137877515,35.74739,139.83982,6.299937941292246,葛飾区,81269.0,34319.0,10.4434835536019,Ohanajaya
たまプラーザ,1.0,1113.0,1.0,0.0465156449618751,0.1538461538461538,0.0465156449618751,35.577407,139.558583,15.511069346994276,Outside-23,0.0,83136.0,11.32824512844138,Tama-plaza
つつじヶ丘,1.0,953.0,1.0,0.0343543458428573,0.1923076923076923,0.0343543458428573,35.658,139.57519,11.410842738199571,Outside-23,66380.0,45169.0,10.71818842864865,Tsutsujigaoka
ときわ台,1.0,598.0,1.0,0.0,0.0897435897435897,0.0,35.7589,139.68876,3.7954318758695575,板橋区,47082.0,50099.0,10.821776287072955,Tokiwadai
みずほ台,1.0,584.0,1.0,0.0,0.0897435897435897,0.0,35.8382,139.55079,18.80724892544017,Outside-23,0.0,41146.0,10.62490629943787,Mizuhodai
センター北,2.0,1194.0,2.0,0.010293848606791,0.0512820512820512,0.0055397854105423,35.553383,139.579045,15.231313842302468,Outside-23,0.0,60889.0,11.01682423660262,Center Kita
センター南,2.0,1193.0,2.0,0.010293848606791,0.0512820512820512,0.0055397854105423,35.545633,139.574713,16.0605048864986,Outside-23,0.0,58579.0,10.978148620381724,Center Minami
テレコムセンター,1.0,944.0,1.0,0.0031402759574739,0.1153846153846153,0.0031402759574739,35.61756,139.77939,3.883533705236574,江東区,831.0,12140.0,9.404343433543977,Telecom Center
モノレール浜松町,1.0,834.0,2.0,0.0,0.0128205128205128,0.0,35.655417,139.756705,0.0315353357829561,港区,28863.0,117370.0,11.673095137122626,Monorail Hamamatsuchō
一之江,1.0,714.0,1.0,0.0039051722755225,0.2179487179487179,0.0039051722755225,35.685987,139.882586,10.000628888004684,江戸川区,62502.0,44708.0,10.707930102616904,Ichinoe
三ノ輪,1.0,978.0,1.0,0.0200214641887968,0.2435897435897435,0.0200214641887968,35.7295502,139.7913004,1.5210113080827132,台東区,109438.0,43601.0,10.68285829984469,Minowa
三ノ輪橋,1.0,932.0,2.0,0.0001110001110001,0.0256410256410256,0.0001110001110001,35.732207,139.791509,1.728988155587419,荒川区,90791.0,3266.0,8.09162741160107,Minowabashi
三河島,1.0,531.0,1.0,0.0740523911480243,0.3205128205128205,0.0740523911480243,35.73323,139.77676,0.8593729207841394,荒川区,86359.0,23016.0,10.043988352323694,Mikawashima
三田,2.0,1682.0,1.0,0.0286529346993004,0.1923076923076923,0.0165355148275418,35.6476995,139.7479375,0.2200103241091717,港区,67555.0,272791.0,12.516464879008248,Mita
三越前,2.0,2135.0,1.0,0.0452863952870408,0.3012820512820512,0.0393895820218166,35.6860505,139.77333099999998,0.6597748206378669,中央区,16938.0,133564.0,11.802343529715058,Mitsukoshimae
三軒茶屋,2.0,1680.0,1.0,0.0465156449618751,0.0897435897435897,0.023334765739699,35.643732,139.670095,3.248054354705622,世田谷区,80482.0,179069.0,12.095532069830805,Sangen-jaya
三郷,1.0,502.0,1.0,0.0008736492480334,0.1666666666666666,0.0008736492480334,35.84461,139.88675,16.424368952735644,Outside-23,0.0,43210.0,10.673850371449207,Misato
三郷中央,1.0,694.0,1.0,0.0031765482948732,0.1153846153846153,0.0031765482948732,35.8245212,139.8783938,14.319801845179716,Outside-23,0.0,30500.0,10.32551474894327,Misato-chūō
三鷹,2.0,1934.0,1.0,0.031915553902728,0.2884615384615384,0.0255367617377296,35.70268,139.56067,12.592045617579023,Outside-23,72902.0,197414.0,12.193063390936532,Mitaka
三鷹台,1.0,637.0,1.0,0.0295759923537318,0.1794871794871795,0.0295759923537318,35.69205,139.5893,10.03374788260103,Outside-23,48761.0,22072.0,10.002110421141213,Mitakadai
上中里,1.0,940.0,1.0,0.0922427032887405,0.3974358974358974,0.0922427032887405,35.74684,139.74593,1.125790501910349,北区,70806.0,16124.0,9.688126141663972,Kami-Nakazato
上井草,1.0,492.0,1.0,0.0,0.0384615384615384,0.0,35.72511,139.60357,9.126768358911129,杉並区,59609.0,21302.0,9.966603186850204,Kami-Igusa
上北沢,1.0,469.0,1.0,0.0343543458428573,0.1923076923076923,0.0343543458428573,35.66884,139.62342,7.155929054602591,世田谷区,67355.0,15942.0,9.676775140407363,Kami-kitazawa
